title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Absolute game changer!,Bought this as a gift for my sister's baby shower. She texted me a week later saying it's the only thing that calms her baby.,5,2025-05-18 00:00:00 UTC,Sophia Myers,smyers158@yahoo.com,,nestli-embrace-sling-carrier,,
She stopped crying the second I put it on,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2023-12-21 00:00:00 UTC,David Young,youngd@outlook.com,,nestli-embrace-sling-carrier,,
Recommend for most moms,Comfortable for long carries. Gave 4 stars because the color I received looked slightly different from the website photo. Still looks nice though.,4,2023-03-13 00:00:00 UTC,Piper Ward,piper.ward@live.com,,nestli-embrace-sling-carrier,,
"Good quality, learning curve",Works well and baby loves it. The ring is a bit stiff at first so adjusting takes some force until it breaks in. After a week it was perfect.,4,2023-10-27 00:00:00 UTC,Alexis White,whitea459@gmail.com,,nestli-embrace-sling-carrier,,
Great for travel,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2023-07-26 00:00:00 UTC,Emily Scott,escott821@hotmail.com,,nestli-embrace-sling-carrier,,
Perfection,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2023-04-01 00:00:00 UTC,Richard Brown,richard@icloud.com,,nestli-embrace-sling-carrier,,
Cried happy tears when I tried it,My baby went from needing to be rocked for 45 minutes to falling asleep in this carrier in under 10 minutes. Life is different now.,5,2023-07-30 00:00:00 UTC,Andrew Moore,moore_a@aol.com,,nestli-embrace-sling-carrier,,
Almost perfect,"Love the quality of this carrier. Only reason it's 4 stars is the learning curve — it took me a week to feel confident putting it on. After that, totally smooth.",4,2023-02-23 00:00:00 UTC,Aaliyah Rogers,aaliyah768@icloud.com,,nestli-embrace-sling-carrier,,
"Returned 3 carriers, kept this one",We flew cross-country with our 7-month-old. This carrier fit in my purse and our baby slept through both flights. Worth ten times the price.,5,2023-05-29 00:00:00 UTC,Thomas Bell,thomas265@icloud.com,,nestli-embrace-sling-carrier,,
Amazing quality,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2024-08-17 00:00:00 UTC,Emery Davis,edavis@aol.com,,nestli-embrace-sling-carrier,,
My pediatrician approved it,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2024-05-09 00:00:00 UTC,Brandon Perry,bperry@live.com,,nestli-embrace-sling-carrier,,
"Nice carrier, minor issue with strap","Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2023-02-15 00:00:00 UTC,Leah Rogers,leah247@outlook.com,,nestli-embrace-sling-carrier,,
"Nice carrier, minor issue with strap",Love that I can nurse in this with a little practice. Took me a couple of weeks to get the hang of it but now it's seamless. High quality product.,4,2023-04-08 00:00:00 UTC,Everly Nelson,everly@icloud.com,,nestli-embrace-sling-carrier,,
"Good carrier, slight adjustment needed","Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2024-08-19 00:00:00 UTC,Richard Flores,flores_r537@msn.com,,nestli-embrace-sling-carrier,,
Good for newborns,Love that I can nurse in this with a little practice. Took me a couple of weeks to get the hang of it but now it's seamless. High quality product.,4,2023-04-03 00:00:00 UTC,Sophia James,sophia_james@outlook.com,,nestli-embrace-sling-carrier,,
Would recommend with small caveat,Good quality product. Baby is content in it and I can actually get things done. Would give 5 stars but it took some practice to get the tightness right.,4,2025-05-18 00:00:00 UTC,Samantha Cox,samantha_cox@hotmail.com,,nestli-embrace-sling-carrier,,
Lightweight and perfect,My son has reflux and needs to stay upright after feeds. This carrier keeps him perfectly positioned and he's so much more comfortable.,5,2024-08-20 00:00:00 UTC,Amber Ross,amber.ross634@gmail.com,,nestli-embrace-sling-carrier,,
Mostly love this carrier,"Great carrier, my daughter loves it. Took off one star because the instructions could be more detailed. Overall very happy with the purchase.",4,2025-07-21 00:00:00 UTC,Charles Morgan,morgan.c@icloud.com,,nestli-embrace-sling-carrier,,
"Goodbye stroller, hello Nestli",I work from home and wear this during calls. Baby is calm and quiet and I look completely professional. Game changing for WFH moms.,5,2023-09-18 00:00:00 UTC,Chloe Richardson,chloe.richardson@outlook.com,,nestli-embrace-sling-carrier,,
My newborn loves it,I run a mom and baby yoga class. I recommend this carrier to every single student. Half of them come back and say it changed their life.,5,2024-04-26 00:00:00 UTC,Sophie Evans,sophie.evans@yahoo.com,,nestli-embrace-sling-carrier,,
My sanity saver,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2023-12-27 00:00:00 UTC,Everly Perez,eperez@icloud.com,,nestli-embrace-sling-carrier,,
Grocery store hero,Took this to Disney World. Walked 12 hours with a 15-month-old in this carrier. My back felt completely fine. My husband was jealous.,5,2026-01-22 00:00:00 UTC,Savannah Garcia,savannahgarcia131@outlook.com,,nestli-embrace-sling-carrier,,
Finally sleeping again,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2023-07-20 00:00:00 UTC,Chloe Bennett,chloe@hotmail.com,,nestli-embrace-sling-carrier,,
Finally sleeping again,"I've tried 3 different carriers before this one. Returned all of them. The Nestli goes on in seconds, I barely feel the weight, and my son falls asleep in it every single time.",5,2023-05-09 00:00:00 UTC,Ryan Sanchez,ryansanchez@gmail.com,,nestli-embrace-sling-carrier,,
Obsessed with this thing,"I've tried 3 different carriers before this one. Returned all of them. The Nestli goes on in seconds, I barely feel the weight, and my son falls asleep in it every single time.",5,2025-04-02 00:00:00 UTC,Autumn Cruz,acruz@aol.com,,nestli-embrace-sling-carrier,,
Good but takes practice,Great carrier and I use it daily. The only thing I'd change is the carry pouch — it's a bit small. But the carrier itself is 5 stars.,4,2025-01-10 00:00:00 UTC,Ruby Nguyen,nguyen.r@gmail.com,,nestli-embrace-sling-carrier,,
This is THE one,The fabric is breathable enough that we used it all summer without baby overheating. Such a thoughtful design.,5,2023-10-07 00:00:00 UTC,Ellie Evans,ellie908@gmail.com,,nestli-embrace-sling-carrier,,
Bought for a friend too,I was nervous about ring slings but the setup guide was so clear. Had it on correctly the first try. Baby was happy immediately.,5,2025-06-18 00:00:00 UTC,Charles Robinson,robinsonc194@live.com,,nestli-embrace-sling-carrier,,
Good but takes practice,Love that I can nurse in this with a little practice. Took me a couple of weeks to get the hang of it but now it's seamless. High quality product.,4,2025-03-11 00:00:00 UTC,Gregory Wood,gregory524@gmail.com,,nestli-embrace-sling-carrier,,
"Fits perfectly, baby loves it",My son is 20 months and 26 pounds. I still carry him in this when he's tired on walks. Zero shoulder pain.,5,2024-10-21 00:00:00 UTC,Alice Baker,abaker@icloud.com,,nestli-embrace-sling-carrier,,
Carrier of the year,"I've tried 3 different carriers before this one. Returned all of them. The Nestli goes on in seconds, I barely feel the weight, and my son falls asleep in it every single time.",5,2023-09-15 00:00:00 UTC,Brielle Lee,brielle@hotmail.com,,nestli-embrace-sling-carrier,,
"Goodbye stroller, hello Nestli","Been using this for 14 months. Not a single seam has come loose, not a single stitch has broken. This thing is built to last.",5,2024-02-24 00:00:00 UTC,Ava Myers,ava@gmail.com,,nestli-embrace-sling-carrier,,
Impressive quality for the price,"Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2024-01-25 00:00:00 UTC,Luna Adams,ladams@live.com,,nestli-embrace-sling-carrier,,
Best purchase of 2024,My baby went from needing to be rocked for 45 minutes to falling asleep in this carrier in under 10 minutes. Life is different now.,5,2024-06-18 00:00:00 UTC,Tyler Hill,tylerhill@hotmail.com,,nestli-embrace-sling-carrier,,
Perfection,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2023-07-04 00:00:00 UTC,Gregory Lopez,lopez.g@outlook.com,,nestli-embrace-sling-carrier,,
Genuinely life changing,The fabric is breathable enough that we used it all summer without baby overheating. Such a thoughtful design.,5,2023-05-07 00:00:00 UTC,Natalie Thompson,nthompson@aol.com,,nestli-embrace-sling-carrier,,
Best purchase of 2024,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2024-06-29 00:00:00 UTC,Cora Martinez,cora699@yahoo.com,,nestli-embrace-sling-carrier,,
Never taking this off,My baby went from needing to be rocked for 45 minutes to falling asleep in this carrier in under 10 minutes. Life is different now.,5,2023-10-12 00:00:00 UTC,Diana Turner,dturner138@live.com,,nestli-embrace-sling-carrier,,
Every mom needs this,"The quality is incredible. Stitching is perfect, fabric is so soft against baby skin. Washed it 40+ times and it still looks brand new.",5,2024-06-17 00:00:00 UTC,Nicholas Lewis,nicholas169@msn.com,,nestli-embrace-sling-carrier,,
Solid 4 stars from me,Works great for my petite frame. Had to watch a video to get the fit right but after that it's been perfect. Baby loves the closeness.,4,2024-02-26 00:00:00 UTC,Lydia Nguyen,nguyenl490@live.com,,nestli-embrace-sling-carrier,,
Hands free finally!!!,Bought this as a gift for my sister's baby shower. She texted me a week later saying it's the only thing that calms her baby.,5,2023-09-25 00:00:00 UTC,Mark Torres,torresm708@msn.com,,nestli-embrace-sling-carrier,,
Should have bought this from day one,My baby went from needing to be rocked for 45 minutes to falling asleep in this carrier in under 10 minutes. Life is different now.,5,2024-11-24 00:00:00 UTC,Lauren Cruz,lauren@yahoo.com,,nestli-embrace-sling-carrier,,
"Good carrier, slight adjustment needed",Solid product. The strap is wide and comfortable. I gave 4 stars because I wish the setup instructions were a bit clearer with pictures. But the carrier itself is great.,4,2024-09-14 00:00:00 UTC,Elena Barnes,elena712@outlook.com,,nestli-embrace-sling-carrier,,
Perfect for our lifestyle,Brought this to a family reunion. Every aunt and uncle took a turn. Nobody could believe how easy it was to put on. Orders came in from 3 family members.,5,2023-01-04 00:00:00 UTC,Charlotte Mitchell,cmitchell@aol.com,,nestli-embrace-sling-carrier,,
Good for newborns,"Great carrier, my daughter loves it. Took off one star because the instructions could be more detailed. Overall very happy with the purchase.",4,2025-09-14 00:00:00 UTC,Nathan Williams,nathan.williams@hotmail.com,,nestli-embrace-sling-carrier,,
Good but takes practice,Good quality product. Baby is content in it and I can actually get things done. Would give 5 stars but it took some practice to get the tightness right.,4,2023-07-10 00:00:00 UTC,William Jones,wjones84@hotmail.com,,nestli-embrace-sling-carrier,,
Never taking this off,Took this to Disney World. Walked 12 hours with a 15-month-old in this carrier. My back felt completely fine. My husband was jealous.,5,2023-01-01 00:00:00 UTC,Layla Torres,ltorres@msn.com,,nestli-embrace-sling-carrier,,
Great for travel,"My toddler is 2.5 years old and we still use this at the farmers market. She gets tired, I pop her in, she's calm. Best investment of new parenthood.",5,2023-09-25 00:00:00 UTC,Autumn Bell,abell641@gmail.com,,nestli-embrace-sling-carrier,,
Perfection,Baby wouldn't sleep unless I was holding her. Tried this carrier out of desperation at 3am and she passed out within minutes. I've been wearing it every day since.,5,2023-02-28 00:00:00 UTC,Penelope Morgan,penelope.morgan574@outlook.com,,nestli-embrace-sling-carrier,,
Obsessed with this thing,My husband said carriers looked too complicated. I ordered this without telling him. He tried it once and now he uses it more than I do. He calls it his dad superpower.,5,2025-04-22 00:00:00 UTC,Ivy Perry,ivy_perry557@gmail.com,,nestli-embrace-sling-carrier,,
Really great carrier,"Great quality, soft fabric, baby seems comfy. Docking one star because mine arrived with a small mark on the fabric. Customer service sorted it quickly though.",4,2023-03-11 00:00:00 UTC,Diana Long,dlong@yahoo.com,,nestli-embrace-sling-carrier,,
Good but takes practice,Solid product. The strap is wide and comfortable. I gave 4 stars because I wish the setup instructions were a bit clearer with pictures. But the carrier itself is great.,4,2023-07-18 00:00:00 UTC,Jerry Garcia,jerry37@msn.com,,nestli-embrace-sling-carrier,,
This is THE one,My son is 20 months and 26 pounds. I still carry him in this when he's tired on walks. Zero shoulder pain.,5,2025-01-06 00:00:00 UTC,Chloe Perez,chloe860@msn.com,,nestli-embrace-sling-carrier,,
Best purchase of 2024,"The quality is incredible. Stitching is perfect, fabric is so soft against baby skin. Washed it 40+ times and it still looks brand new.",5,2024-08-03 00:00:00 UTC,Jose Anderson,jose267@msn.com,,nestli-embrace-sling-carrier,,
Finally sleeping again,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2023-07-06 00:00:00 UTC,Madison Miller,madison642@hotmail.com,,nestli-embrace-sling-carrier,,
My husband uses it more than me,"I've tried 3 different carriers before this one. Returned all of them. The Nestli goes on in seconds, I barely feel the weight, and my son falls asleep in it every single time.",5,2024-02-17 00:00:00 UTC,Natalie Lewis,nlewis741@hotmail.com,,nestli-embrace-sling-carrier,,
My newborn loves it,"The quality is incredible. Stitching is perfect, fabric is so soft against baby skin. Washed it 40+ times and it still looks brand new.",5,2023-12-25 00:00:00 UTC,David Mitchell,david@live.com,,nestli-embrace-sling-carrier,,
Carrier of the year,I run a mom and baby yoga class. I recommend this carrier to every single student. Half of them come back and say it changed their life.,5,2024-07-08 00:00:00 UTC,Emilia Cruz,emilia486@aol.com,,nestli-embrace-sling-carrier,,
"Great quality, took time to adjust",Really happy with the purchase. Slight learning curve but nothing that a YouTube tutorial didn't solve. Baby is calm and I'm hands-free.,4,2023-05-28 00:00:00 UTC,Olivia Hernandez,olivia202@outlook.com,,nestli-embrace-sling-carrier,,
Good but takes practice,"Great carrier, my daughter loves it. Took off one star because the instructions could be more detailed. Overall very happy with the purchase.",4,2023-08-08 00:00:00 UTC,Avery Thomas,athomas@hotmail.com,,nestli-embrace-sling-carrier,,
Mostly love this carrier,Solid product. The strap is wide and comfortable. I gave 4 stars because I wish the setup instructions were a bit clearer with pictures. But the carrier itself is great.,4,2023-09-18 00:00:00 UTC,Kinsley Lewis,lewisk137@yahoo.com,,nestli-embrace-sling-carrier,,
Mostly love this carrier,Works well and baby loves it. The ring is a bit stiff at first so adjusting takes some force until it breaks in. After a week it was perfect.,4,2024-06-17 00:00:00 UTC,Piper Davis,pdavis745@msn.com,,nestli-embrace-sling-carrier,,
My husband uses it more than me,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2023-04-26 00:00:00 UTC,Samantha Edwards,samantha342@outlook.com,,nestli-embrace-sling-carrier,,
My velcro baby is finally calm,My daughter had colic for 6 weeks and nothing worked. Put her in this carrier and she was asleep in 4 minutes. I literally cried. This carrier saved my sanity.,5,2023-08-06 00:00:00 UTC,Justin Allen,justin@aol.com,,nestli-embrace-sling-carrier,,
"Good carrier, slight adjustment needed","Love the quality of this carrier. Only reason it's 4 stars is the learning curve — it took me a week to feel confident putting it on. After that, totally smooth.",4,2024-07-15 00:00:00 UTC,James Wright,wright.j@msn.com,,nestli-embrace-sling-carrier,,
Amazing quality,My son is 20 months and 26 pounds. I still carry him in this when he's tired on walks. Zero shoulder pain.,5,2025-02-16 00:00:00 UTC,Camila Robinson,robinson.c@hotmail.com,,nestli-embrace-sling-carrier,,
My husband uses it more than me,"Been using this for 14 months. Not a single seam has come loose, not a single stitch has broken. This thing is built to last.",5,2024-10-05 00:00:00 UTC,Nicholas Brown,nicholas209@icloud.com,,nestli-embrace-sling-carrier,,
Love it with minor learning curve,Works well and baby loves it. The ring is a bit stiff at first so adjusting takes some force until it breaks in. After a week it was perfect.,4,2023-03-20 00:00:00 UTC,Alexander Clark,aclark@icloud.com,,nestli-embrace-sling-carrier,,
Solid carrier overall,Great carrier and I use it daily. The only thing I'd change is the carry pouch — it's a bit small. But the carrier itself is 5 stars.,4,2024-12-15 00:00:00 UTC,Genesis Myers,gmyers742@outlook.com,,nestli-embrace-sling-carrier,,
Life changing for new moms,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2024-04-14 00:00:00 UTC,Willow Scott,willow@aol.com,,nestli-embrace-sling-carrier,,
Worth every single penny,Went to the grocery store with both hands free for the first time in 4 months. I actually teared up in the cereal aisle. This carrier is everything.,5,2023-12-17 00:00:00 UTC,Isabella Hernandez,ihernandez634@hotmail.com,,nestli-embrace-sling-carrier,,
Best purchase of 2024,My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2024-10-20 00:00:00 UTC,Delilah Moore,delilahmoore@icloud.com,,nestli-embrace-sling-carrier,,
"Fits perfectly, baby loves it",I run a mom and baby yoga class. I recommend this carrier to every single student. Half of them come back and say it changed their life.,5,2025-01-13 00:00:00 UTC,David Martin,david@aol.com,,nestli-embrace-sling-carrier,,
Best purchase of 2024,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2023-05-25 00:00:00 UTC,Eric Hill,erichill@yahoo.com,,nestli-embrace-sling-carrier,,
Lightweight and perfect,"My toddler is 2.5 years old and we still use this at the farmers market. She gets tired, I pop her in, she's calm. Best investment of new parenthood.",5,2026-01-18 00:00:00 UTC,David Lee,lee_d81@hotmail.com,,nestli-embrace-sling-carrier,,
Really great carrier,Really like this carrier. My husband found it slightly tricky to adjust at first but now he uses it on his own. Baby falls asleep in it often.,4,2023-09-19 00:00:00 UTC,Julia Ross,ross_j@outlook.com,,nestli-embrace-sling-carrier,,
Really great carrier,Works great for my petite frame. Had to watch a video to get the fit right but after that it's been perfect. Baby loves the closeness.,4,2024-09-26 00:00:00 UTC,Amelia Gray,amelia.gray744@aol.com,,nestli-embrace-sling-carrier,,
Best purchase of 2024,"The quality is incredible. Stitching is perfect, fabric is so soft against baby skin. Washed it 40+ times and it still looks brand new.",5,2025-02-23 00:00:00 UTC,Matthew Jackson,jackson_m@msn.com,,nestli-embrace-sling-carrier,,
Dad approved!,Took this to Disney World. Walked 12 hours with a 15-month-old in this carrier. My back felt completely fine. My husband was jealous.,5,2024-02-08 00:00:00 UTC,Ariana Davis,adavis@gmail.com,,nestli-embrace-sling-carrier,,
Absolute game changer!,My son has reflux and needs to stay upright after feeds. This carrier keeps him perfectly positioned and he's so much more comfortable.,5,2024-11-12 00:00:00 UTC,Nicholas Murphy,nicholas@outlook.com,,nestli-embrace-sling-carrier,,
Really like this carrier,"Great carrier, my daughter loves it. Took off one star because the instructions could be more detailed. Overall very happy with the purchase.",4,2024-07-09 00:00:00 UTC,Mia Thompson,mthompson39@gmail.com,,nestli-embrace-sling-carrier,,
"Fits perfectly, baby loves it",Brought this to a family reunion. Every aunt and uncle took a turn. Nobody could believe how easy it was to put on. Orders came in from 3 family members.,5,2023-08-11 00:00:00 UTC,Kennedy Campbell,kennedycampbell@aol.com,,nestli-embrace-sling-carrier,,
Worth every single penny,Ordered this as a last resort after my velcro baby refused to be put down for 3 months. Should have ordered it on day 1. So easy to use and baby loves it.,5,2023-11-06 00:00:00 UTC,Ryan Roberts,rroberts@live.com,,nestli-embrace-sling-carrier,,
"Good carrier, slight adjustment needed","Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2023-09-19 00:00:00 UTC,Stephanie Flores,stephanieflores@live.com,,nestli-embrace-sling-carrier,,
Never taking this off,My son has reflux and needs to stay upright after feeds. This carrier keeps him perfectly positioned and he's so much more comfortable.,5,2024-03-16 00:00:00 UTC,Zoe Cox,zoe932@gmail.com,,nestli-embrace-sling-carrier,,
Mostly love this carrier,Really like this carrier. My husband found it slightly tricky to adjust at first but now he uses it on his own. Baby falls asleep in it often.,4,2024-03-30 00:00:00 UTC,Gianna Lee,gianna179@msn.com,,nestli-embrace-sling-carrier,,
Love it with minor learning curve,Great carrier and I use it daily. The only thing I'd change is the carry pouch — it's a bit small. But the carrier itself is 5 stars.,4,2023-10-14 00:00:00 UTC,Justin Bailey,baileyj67@msn.com,,nestli-embrace-sling-carrier,,
She stopped crying the second I put it on,Bought this as a gift for my sister's baby shower. She texted me a week later saying it's the only thing that calms her baby.,5,2025-08-20 00:00:00 UTC,Avery James,avery_james356@gmail.com,,nestli-embrace-sling-carrier,,
My arms don't hurt anymore!,"Been using this for 14 months. Not a single seam has come loose, not a single stitch has broken. This thing is built to last.",5,2023-10-11 00:00:00 UTC,Jack Gomez,gomezj@yahoo.com,,nestli-embrace-sling-carrier,,
Baby falls asleep in minutes,My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2024-04-23 00:00:00 UTC,Samantha Turner,samantha698@hotmail.com,,nestli-embrace-sling-carrier,,
Cooking with baby — done!,My son is 20 months and 26 pounds. I still carry him in this when he's tired on walks. Zero shoulder pain.,5,2024-01-25 00:00:00 UTC,Alexander Rogers,arogers@hotmail.com,,nestli-embrace-sling-carrier,,
Airport essential,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2023-10-05 00:00:00 UTC,Kayla Green,kgreen@icloud.com,,nestli-embrace-sling-carrier,,
"Nice carrier, minor issue with strap",Works well and baby loves it. The ring is a bit stiff at first so adjusting takes some force until it breaks in. After a week it was perfect.,4,2024-01-24 00:00:00 UTC,Brian Cooper,bcooper@outlook.com,,nestli-embrace-sling-carrier,,
This saved my postpartum,Brought this to a family reunion. Every aunt and uncle took a turn. Nobody could believe how easy it was to put on. Orders came in from 3 family members.,5,2023-06-19 00:00:00 UTC,Paul Ortiz,ortiz.p458@hotmail.com,,nestli-embrace-sling-carrier,,
Bought for a friend too,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2024-01-01 00:00:00 UTC,Diana Harris,dianaharris140@msn.com,,nestli-embrace-sling-carrier,,
Impressive quality for the price,"Great carrier, my daughter loves it. Took off one star because the instructions could be more detailed. Overall very happy with the purchase.",4,2023-12-02 00:00:00 UTC,Nora Barnes,nbarnes163@aol.com,,nestli-embrace-sling-carrier,,
So easy to use,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2024-01-11 00:00:00 UTC,Willow Rivera,willow@outlook.com,,nestli-embrace-sling-carrier,,
"Fits perfectly, baby loves it",My baby went from needing to be rocked for 45 minutes to falling asleep in this carrier in under 10 minutes. Life is different now.,5,2024-03-15 00:00:00 UTC,Vivian Moore,moore_v402@icloud.com,,nestli-embrace-sling-carrier,,
5 stars isn't enough,My postpartum anxiety was through the roof until I started babywearing. Having her close and being able to feel her breathing calmed both of us down.,5,2024-06-25 00:00:00 UTC,Audrey Hernandez,audrey_hernandez@outlook.com,,nestli-embrace-sling-carrier,,
Absolute game changer!,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2024-09-22 00:00:00 UTC,Gianna Turner,gianna219@yahoo.com,,nestli-embrace-sling-carrier,,
Cried happy tears when I tried it,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2023-12-10 00:00:00 UTC,Scott Ross,ross_s428@aol.com,,nestli-embrace-sling-carrier,,
She stopped crying the second I put it on,My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2023-11-06 00:00:00 UTC,Emery Rogers,emery_rogers228@hotmail.com,,nestli-embrace-sling-carrier,,
Really like this carrier,"Love the quality of this carrier. Only reason it's 4 stars is the learning curve — it took me a week to feel confident putting it on. After that, totally smooth.",4,2023-06-23 00:00:00 UTC,Aubrey Powell,powell_a@outlook.com,,nestli-embrace-sling-carrier,,
"Easy to put on, baby loves it",I run a mom and baby yoga class. I recommend this carrier to every single student. Half of them come back and say it changed their life.,5,2024-05-19 00:00:00 UTC,Vivian Fisher,fisherv382@outlook.com,,nestli-embrace-sling-carrier,,
My go-to carrier for everything,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2023-01-26 00:00:00 UTC,Quinn Fisher,quinn@msn.com,,nestli-embrace-sling-carrier,,
"Good carrier, slight adjustment needed",Love that I can nurse in this with a little practice. Took me a couple of weeks to get the hang of it but now it's seamless. High quality product.,4,2025-06-21 00:00:00 UTC,Lauren Cruz,lcruz@msn.com,,nestli-embrace-sling-carrier,,
Every mom needs this,My son is 20 months and 26 pounds. I still carry him in this when he's tired on walks. Zero shoulder pain.,5,2024-03-24 00:00:00 UTC,Anna Thomas,athomas188@icloud.com,,nestli-embrace-sling-carrier,,
Really great carrier,Love that I can nurse in this with a little practice. Took me a couple of weeks to get the hang of it but now it's seamless. High quality product.,4,2023-01-09 00:00:00 UTC,Adam Murphy,adam_murphy@msn.com,,nestli-embrace-sling-carrier,,
Would recommend with small caveat,Good quality product. Baby is content in it and I can actually get things done. Would give 5 stars but it took some practice to get the tightness right.,4,2023-11-23 00:00:00 UTC,Joshua Walker,joshua542@icloud.com,,nestli-embrace-sling-carrier,,
Genuinely life changing,The fabric is breathable enough that we used it all summer without baby overheating. Such a thoughtful design.,5,2023-09-02 00:00:00 UTC,Amelia Jones,ajones@icloud.com,,nestli-embrace-sling-carrier,,
Life changing for new moms,"Been using this for 14 months. Not a single seam has come loose, not a single stitch has broken. This thing is built to last.",5,2025-05-28 00:00:00 UTC,Lily Sullivan,lily@live.com,,nestli-embrace-sling-carrier,,
10/10 no notes,"The quality is incredible. Stitching is perfect, fabric is so soft against baby skin. Washed it 40+ times and it still looks brand new.",5,2024-05-01 00:00:00 UTC,Gianna Reyes,gianna@hotmail.com,,nestli-embrace-sling-carrier,,
My go-to carrier for everything,I work from home and wear this during calls. Baby is calm and quiet and I look completely professional. Game changing for WFH moms.,5,2023-04-28 00:00:00 UTC,Aurora Torres,aurora@icloud.com,,nestli-embrace-sling-carrier,,
So easy to use,Baby wouldn't sleep unless I was holding her. Tried this carrier out of desperation at 3am and she passed out within minutes. I've been wearing it every day since.,5,2024-02-16 00:00:00 UTC,Alexa Edwards,alexa631@yahoo.com,,nestli-embrace-sling-carrier,,
My velcro baby is finally calm,I work from home and wear this during calls. Baby is calm and quiet and I look completely professional. Game changing for WFH moms.,5,2023-12-01 00:00:00 UTC,Maya Reyes,reyes_m305@gmail.com,,nestli-embrace-sling-carrier,,
Best carrier I've ever owned,We flew cross-country with our 7-month-old. This carrier fit in my purse and our baby slept through both flights. Worth ten times the price.,5,2024-08-06 00:00:00 UTC,Allison Jones,ajones768@hotmail.com,,nestli-embrace-sling-carrier,,
Finally sleeping again,My son has reflux and needs to stay upright after feeds. This carrier keeps him perfectly positioned and he's so much more comfortable.,5,2024-08-02 00:00:00 UTC,Paisley Lee,lee_p@msn.com,,nestli-embrace-sling-carrier,,
"Easy to put on, baby loves it","My toddler is 2.5 years old and we still use this at the farmers market. She gets tired, I pop her in, she's calm. Best investment of new parenthood.",5,2023-06-07 00:00:00 UTC,Skylar Brooks,brookss245@aol.com,,nestli-embrace-sling-carrier,,
"Good carrier, slight adjustment needed",Works great for my petite frame. Had to watch a video to get the fit right but after that it's been perfect. Baby loves the closeness.,4,2023-06-25 00:00:00 UTC,Skylar Phillips,skylar687@hotmail.com,,nestli-embrace-sling-carrier,,
Every mom needs this,Ordered this as a last resort after my velcro baby refused to be put down for 3 months. Should have ordered it on day 1. So easy to use and baby loves it.,5,2025-02-24 00:00:00 UTC,Andrew Miller,miller_a@live.com,,nestli-embrace-sling-carrier,,
Perfect for our lifestyle,"The quality is incredible. Stitching is perfect, fabric is so soft against baby skin. Washed it 40+ times and it still looks brand new.",5,2024-12-09 00:00:00 UTC,Cora Brown,cora.brown693@live.com,,nestli-embrace-sling-carrier,,
Carrier of the year,Went to the grocery store with both hands free for the first time in 4 months. I actually teared up in the cereal aisle. This carrier is everything.,5,2024-11-11 00:00:00 UTC,Mila Johnson,johnson_m919@hotmail.com,,nestli-embrace-sling-carrier,,
Airport essential,My postpartum anxiety was through the roof until I started babywearing. Having her close and being able to feel her breathing calmed both of us down.,5,2025-02-04 00:00:00 UTC,Allison Mitchell,amitchell@hotmail.com,,nestli-embrace-sling-carrier,,
